Amostra,Diâmetro,Altura,Massa,Res. Mecânica,T,Área,Volume,Densidade,Tensão Mec.
338,17.33,32.8,8.25,1298,1.8926716676283901,235.87776647517583,7736.790740385766,0.0010663336099986911,5.502850138851911
341,17.26,32.8,8.2,1261,1.900347624565469,233.97608190214171,7674.415486390248,0.001068485282630556,5.3894397655885244
299,14.74,27.58,5.1,953,1.8710990502035276,170.64157400577145,4706.294611079176,0.0010836550665557557,5.584805493928271
287,13.36,25.03,3.8,806,1.8735029940119763,140.18540402554518,3508.840662759396,0.001082978785651564,5.749528673135808
278,13.12,24.41,3.5,780,1.860518292682927,135.1940416175217,3300.0865558837045,0.001060578242640294,5.769485035492192
283,13.41,22.39,3.4,814,1.6696495152870992,141.23665946725268,3162.288805471788,0.0010751706150674456,5.7633761876726854
349,13.53,22.93,1.9,314,1.6947524020694753,143.77569464988392,3296.776678321838,0.0005763205049627927,2.183957453759056
282,13.38,18.43,2.8,817,1.3774289985052315,140.60543496333014,2591.3581663741743,0.001080514471651658,5.810586199694723
348,13.58,18.69,1.5,298,1.3762886597938144,144.84030186036918,2707.0652417703,0.0005541055962947783,2.0574384074902152
345,13.03,18.03,1.4,295,1.3837298541826555,133.3456070399658,2404.2212949305836,0.00058230912560003,2.2122963519269425
269,12.55,23.68,1.7,275,1.886852589641434,123.70217423050661,2929.267485778397,0.0005803498684410029,2.223081378404595
296,14.37,26.86,4.6,891,1.8691718858733473,162.18228600726653,4356.2162021551785,0.001055962281606733,5.493818233392512
211,13.84,20.58,3.1,746,1.4869942196531791,150.43956244686228,3096.0461951564257,0.001001277049693173,4.958801979123672
94,12.57,18.68,2.3,554,1.4860779634049324,124.0967582677975,2318.127444442457,0.000992180134666057,4.464258436183182
186,13.56,26.8,4.0,644,1.9764011799410028,144.41398773727704,3870.294871359025,0.0010335129836232426,4.4594018217375675
41,12.0,21.0,2.4,538,1.75,113.09733552923255,2375.0440461138837,0.001010507575186637,4.756964410191094
198,13.55,26.95,4.0,670,1.988929889298893,144.20106629518003,3886.2187366551016,0.0010292781418276087,4.646290191977554
36,12.08,23.94,2.7,599,1.9817880794701987,114.6103265512014,2743.771217635762,0.0009840470599901262,5.226405141882226
246,14.58,28.9,4.8,658,1.9821673525377228,166.95711414164134,4825.060598693434,0.000994806158766126,3.9411318492350844
250,14.72,21.96,3.8,842,1.4918478260869565,170.17881740789767,3737.126830277433,0.0010168239325497818,4.947736814869442
